,0,1,2,3
81,でんじは,かみなり,アンコール,わるだくみ
82,10まんボルト,くさむすび,なみのり,わるだくみ
83,ボルテッカー,かわらわり,なげつける,みがわり
84,ボルテッカー,じゃれつく,アイアンテール,くさむすび
85,ボルテッカー,アイアンテール,ねこだまし,まもる
86,なげつける,ねこだまし,ボルトチェンジ,くさむすび
87,めざめるパワー,ボルトチェンジ,アンコール,かみなり
88,リフレクター,ひかりのかべ,ほっぺすりすり,かわらわり
89,ボルテッカー,ほっぺすりすり,かわらわり,じゃれつく
90,10まんボルト,てだすけ,ほっぺすりすり,ねこだまし
91,ボルトチェンジ,ほっぺすりすり,ねこだまし,かいでんぱ
92,ねこだまし,ほっぺすりすり,フェイント,ボルトチェンジ
93,ボルトチェンジ,めざめるパワー,はたきおとす,ほっぺすりすり
94,ねこだまし,10まんボルト,フェイント,アンコール
95,10まんボルト,めざめるパワー,わるだくみ,アンコール
96,ボルトチェンジ,きあいだま,くさむすび,めざめるパワー
97,アンコール,10まんボルト,-,-
98,きあいだま,かみなり,くさむすび,アンコール
99,じしん,ストーンエッジ,カウンター,つるぎのまい
100,じしん,ストーンエッジ,つるぎのまい,みがわり
101,じならし,ストーンエッジ,ステルスロック,いかりのまえば
102,だいちのちから,れいとうビーム,かえんほうしゃ,こらえる
103,ステルスロック,こらえる,がんせきふうじ,どくづき
104,ヘドロウェーブ,だいちのちから,かえんほうしゃ,れいとうビーム
105,だいちのちから,ヘドロウェーブ,れいとうビーム,どくどく
106,だいちのちから,かえんほうしゃ,れいとうビーム,10まんボルト
107,だいちのちから,だいもんじ,ヘドロウェーブ,ふぶき
108,どくびし,ほえる,いかりのまえば,じしん
109,10まんボルト,れいとうビーム,だいもんじ,だいちのちから
110,だいちのちから,だいもんじ,10まんボルト,れいとうビーム
111,だいちのちから,れいとうビーム,だいもんじ,10まんボルト
112,ふいうち,-,-,-
113,ヘドロウェーブ,れいとうビーム,だいもんじ,カウンター
114,ヘドロウェーブ,だいちのちから,れいとうビーム,だいもんじ
115,ヘドロウェーブ,だいちのちから,れいとうビーム,かえんほうしゃ
116,だいちのちから,れいとうビーム,だいもんじ,ヘドロウェーブ
117,ステルスロック,だいちのちから,れいとうビーム,ヘドロウェーブ
118,ヘドロウェーブ,だいちのちから,れいとうビーム,10まんボルト
119,ヘドロウェーブ,だいちのちから,かえんほうしゃ,れいとうビーム
120,だいちのちから,れいとうビーム,ふいうち,つのドリル
121,だいちのちから,だいもんじ,かみなり,れいとうビーム
122,だいちのちから,だいもんじ,れいとうビーム,ふいうち
123,ムーンフォース,ゆびをふる,ちいさくなる,バトンタッチ
124,まもる,このゆびとまれ,サイドチェンジ,ステルスロック
125,てだすけ,このゆびとまれ,ひかりのかべ,まもる
126,このゆびとまれ,サイドチェンジ,てだすけ,まもる
127,このゆびとまれ,おさきにどうぞ,うたう,まもる
128,このゆびとまれ,まもる,てだすけ,こごえるかぜ
129,このゆびとまれ,ちいさくなる,つきのひかり,アシストパワー
130,つきのひかり,アシストパワー,コスモパワー,ちいさくなる
131,トリック,ムーンフォース,つきのひかり,ステルスロック
132,ムーンフォース,だいもんじ,10まんボルト,めいそう
133,ムーンフォース,トリック,つきのひかり,ステルスロック
134,つきのひかり,めいそう,かえんほうしゃ,ムーンフォース
135,ステルスロック,ムーンフォース,かえんほうしゃ,こごえるかぜ
136,ムーンフォース,だいもんじ,じゅうりょく,うたう
137,ムーンフォース,めいそう,つきのひかり,ちいさくなる
138,トリック,ステルスロック,ムーンフォース,かえんほうしゃ
139,ムーンフォース,めいそう,コスモパワー,つきのひかり
140,ムーンフォース,めいそう,トリック,つきのひかり
141,メテオビーム,ムーンフォース,ソーラービーム,ゆびをふる
142,つきのひかり,ムーンフォース,コスモパワー,かえんほうしゃ
143,つきのひかり,ムーンフォース,ステルスロック,でんじは
144,ムーンフォース,ステルスロック,つきのひかり,めいそう
145,ゆびをふる,ちいさくなる,みがわり,まもる
146,ムーンフォース,ステルスロック,トリック,つきのひかり
147,ムーンフォース,リフレクター,めいそう,つきのひかり
148,ムーンフォース,かえんほうしゃ,つきのひかり,ちいさくなる
149,ムーンフォース,ちいさくなる,スポットライト,タマゴうみ
150,ムーンフォース,ちいさくなる,めいそう,つきのひかり
151,ムーンフォース,だいもんじ,でんじは,つきのひかり
152,つきのひかり,ムーンフォース,でんじは,コスモパワー
153,アンコール,ステルスロック,でんじは,ムーンフォース
154,つきのひかり,コスモパワー,アシストパワー,ムーンフォース
155,アシストパワー,ちいさくなる,コスモパワー,つきのひかり
156,マジカルフレイム,ソーラービーム,おにび,ほえる
157,オーバーヒート,ソーラービーム,パワースワップ,おにび
158,マジカルフレイム,ソーラービーム,だいもんじ,あくのはどう
159,マジカルフレイム,ソーラービーム,おにび,おきみやげ
160,マジカルフレイム,イカサマ,ソーラービーム,しっとのほのお
161,ねっぷう,オーバーヒート,ソーラービーム,あくのはどう
162,オーバーヒート,ねっぷう,まもる,ソーラービーム
163,ねっぷう,たたりめ,さいみんじゅつ,まもる
164,オーバーヒート,さいみんじゅつ,おにび,まもる
165,マジカルフレイム,ソーラービーム,おにび,おきみやげ
166,しっとのほのお,ソーラービーム,イカサマ,まもる
167,オーバーヒート,おにび,おきみやげ,パワースワップ
168,マジカルフレイム,ソーラービーム,おにび,わるだくみ
169,かえんほうしゃ,オーバーヒート,ソーラービーム,あくのはどう
170,だいもんじ,ソーラービーム,めざめるパワー,おにび
171,フレアドライブ,さいみんじゅつ,ほえる,みがわり
172,オーバーヒート,おにび,しんぴのまもり,まもる
173,かえんほうしゃ,さいみんじゅつ,ほえる,みがわり
174,だいもんじ,ソーラービーム,めざめるパワー,オーバーヒート
175,オーバーヒート,ソーラービーム,パワースワップ,おにび
176,だいもんじ,ソーラービーム,-,-
177,みがわり,めいそう,かえんほうしゃ,かなしばり
178,かえんほうしゃ,どくどく,みがわり,かなしばり
179,オーバーヒート,ニトロチャージ,おんねん,ソーラービーム
180,かえんほうしゃ,どくどく,まもる,みがわり
181,だいもんじ,ソーラービーム,めいそう,おにび
182,さいみんじゅつ,わるだくみ,だいもんじ,ソーラービーム
183,ねっぷう,おにび,しんぴのまもり,まもる
184,オーバーヒート,ソーラービーム,でんこうせっか,あくのはどう
185,ほろびのうた,てだすけ,サイドチェンジ,まもる
186,ほろびのうた,てだすけ,サイドチェンジ,まもる
187,ほろびのうた,サイドチェンジ,まもる,てだすけ
188,まもる,ねがいごと,でんじは,かなしばり
189,ミストバースト,ステルスロック,うそなき,こらえる
190,リフレクター,ひかりのかべ,じばく,ステルスロック
191,マジカルシャイン,きあいだま,うたう,ふぶき
192,マジカルシャイン,かえんほうしゃ,10まんボルト,サイドチェンジ
193,ハイパーボイス,マジカルシャイン,かえんほうしゃ,10まんボルト
194,ハイパーボイス,マジカルシャイン,だいもんじ,サイドチェンジ
195,まもる,ステルスロック,でんじは,ほろびのうた
196,とんぼがえり,ちょうはつ,くろいきり,さいみんじゅつ
197,どくどく,はねやすめ,くろいきり,とんぼがえり
198,どくどく,はねやすめ,ちょうはつ,ねっぷう
199,さいみんじゅつ,ふきとばし,はねやすめ,とんぼがえり
200,はねやすめ,いかりのまえば,どくどく,ふきとばし
201,ギガドレイン,どくどく,やどりぎのタネ,ちからをすいとる
202,どくどく,なやみのタネ,めざめるパワー,つきのひかり
203,ムーンフォース,エナジーボール,ヘドロウェーブ,ねむりごな
204,ギガドレイン,ちからをすいとる,ねむりごな,どくどく
205,ギガドレイン,ヘドロばくだん,ムーンフォース,ちからをすいとる
206,ヘドロばくだん,ギガドレイン,ムーンフォース,しびれごな
207,ギガドレイン,めざめるパワー,つきのひかり,しびれごな
208,キノコのほうし,いかりのこな,ギガドレイン,ワイドガード
209,ワイドガード,いかりのこな,キノコのほうし,まもる
210,キノコのほうし,こうそくいどう,みがわり,シザークロス
211,キノコのほうし,やどりぎのタネ,みがわり,シザークロス
212,ねむりごな,みがわり,バトンタッチ,こうそくいどう
213,むしのさざめき,ちょうのまい,みがわり,はねやすめ
214,ちょうのまい,バトンタッチ,ヘドロばくだん,サイコキネシス
215,ねむりごな,バトンタッチ,ちょうのまい,むしのさざめき
216,かなしばり,まもる,ちょうのまい,むしのさざめき
217,ちょうのまい,ねむりごな,バトンタッチ,むしのさざめき
218,ちょうのまい,バトンタッチ,むしのさざめき,はねやすめ
219,みがわり,まもる,おきみやげ,じならし
220,きしかいせい,がんせきふうじ,ふいうち,おきみやげ
221,おきみやげ,がんせきふうじ,こらえる,じわれ
222,じしん,ストーンエッジ,じわれ,おきみやげ
223,じならし,じしん,おきみやげ,ふいうち
224,つじぎり,じしん,ステルスロック,いばる
225,ステルスロック,おきみやげ,じならし,ストーンエッジ
226,じしん,がんせきふうじ,ステルスロック,おきみやげ
227,がんせきふうじ,じしん,ふいうち,ステルスロック
228,きしかいせい,ストーンエッジ,おきみやげ,どくどく
229,じしん,ストーンエッジ,ふいうち,おきみやげ
230,ステルスロック,ストーンエッジ,きしかいせい,おきみやげ
231,おきみやげ,みがわり,まもる,ふいうち
232,まもる,いわなだれ,じならし,おきみやげ
233,じしん,つめとぎ,ストーンエッジ,みがわり
234,まもる,つめとぎ,ストーンエッジ,じしん
235,すりかえ,ダストシュート,とんぼがえり,こごえるかぜ
236,ねこだまし,ちょうはつ,さいみんじゅつ,イカサマ
237,つめとぎ,ねこのて,みがわり,とっておき
238,ねこのて,いばる,イカサマ,みがわり
239,すりかえ,とんぼがえり,おんがえし,さいみんじゅつ
240,スピードスター,めざめるパワー,さいみんじゅつ,わるだくみ
241,さいみんじゅつ,ハイドロポンプ,ねむる,めいそう
242,ハイドロポンプ,れいとうビーム,あくび,きあいだま
243,ねっとう,れいとうビーム,クリアスモッグ,まもる
244,ハイドロポンプ,れいとうビーム,めざめるパワー,まもる
245,インファイト,オーバーヒート,いのちがけ,アンコール
246,インファイト,かみなり,オーバーヒート,とんぼがえり
247,きあいだま,かみなり,オーバーヒート,アンコール
248,フレアドライブ,しんそく,おにび,ワイルドボルト
249,フレアドライブ,ワイルドボルト,インファイト,じゃれつく
250,もえつきる,バークアウト,おにび,あさのひざし
251,オーバーヒート,おにび,しんそく,ねっさのだいち
252,フレアドライブ,ワイルドボルト,インファイト,しんそく
253,もえつきる,ねっさのだいち,あさのひざし,ほえる
254,あさのひざし,かえんほうしゃ,しんそく,りゅうのはどう
255,フレアドライブ,げきりん,ワイルドボルト,インファイト
256,しんそく,ワイルドボルト,かえんほうしゃ,ソーラービーム
257,かえんほうしゃ,おにび,あさのひざし,ほえる
258,こうそくいどう,りゅうのはどう,もえつきる,ソーラービーム
259,おにび,あさのひざし,ねっさのだいち,オーバーヒート
260,オーバーヒート,おにび,あさのひざし,バークアウト
261,おにび,しんそく,フレアドライブ,インファイト
262,かえんほうしゃ,おにび,バークアウト,ほえる
263,かえんほうしゃ,バークアウト,おにび,あさのひざし
264,フレアドライブ,しんそく,おにび,あさのひざし
265,もえつきる,じならし,おにび,あさのひざし
266,まもる,かえんほうしゃ,バークアウト,おにび
267,フレアドライブ,しんそく,ワイルドボルト,じゃれつく
268,フレアドライブ,ワイルドボルト,アイアンヘッド,しんそく
269,かえんほうしゃ,ほえる,おにび,あさのひざし
270,かえんほうしゃ,あさのひざし,おにび,ほえる
271,フレアドライブ,インファイト,アイアンヘッド,しんそく
272,かえんほうしゃ,おにび,バークアウト,あさのひざし
273,おにび,まもる,オーバーヒート,バークアウト
274,もえつきる,あさのひざし,おにび,バークアウト
275,フレアドライブ,ワイルドボルト,しんそく,まもる
276,フレアドライブ,インファイト,しんそく,どくどく
277,フレアドライブ,インファイト,ワイルドボルト,しんそく
278,かえんほうしゃ,おにび,バークアウト,まもる
279,フレアドライブ,インファイト,おにび,じならし
280,オーバーヒート,フレアドライブ,インファイト,しんそく
281,だいもんじ,インファイト,めざめるパワー,しんそく
282,なみのり,がむしゃら,あまごい,アンコール
283,アクアブレイク,インファイト,はらだいこ,さいみんじゅつ
284,はらだいこ,たきのぼり,ドレインパンチ,いわなだれ
285,アクアブレイク,インファイト,いわなだれ,じしん
286,アクアブレイク,ドレインパンチ,じしん,はらだいこ
287,アンコール,はらだいこ,どくづき,たきのぼり
288,たきのぼり,かわらわり,はらだいこ,どくづき
289,さいみんじゅつ,はらだいこ,たきのぼり,かわらわり
290,きあいパンチ,たきのぼり,みがわり,ビルドアップ
291,なみのり,しんくうは,れいとうビーム,いわなだれ
292,はらだいこ,たきのぼり,かわらわり,おんがえし
293,たきのぼり,ともえなげ,ビルドアップ,さいみんじゅつ
294,たきのぼり,れいとうパンチ,ローキック,さいみんじゅつ
295,サイコキネシス,マジカルシャイン,エナジーボール,トリック
296,サイコショック,マジカルシャイン,でんじは,わるだくみ
297,ワイドフォース,めいそう,マジカルシャイン,エナジーボール
298,ワイドフォース,エナジーボール,マジカルシャイン,でんじは
299,ワイドフォース,きあいだま,マジカルシャイン,まもる
300,カウンター,サイコキネシス,シャドーボール,ちょうはつ
301,サイコキネシス,まもる,アンコール,かなしばり
302,サイコキネシス,きあいだま,めざめるパワー,アンコール
303,めいそう,サイコキネシス,めざめるパワー,きあいだま
304,サイコショック,アンコール,きあいだま,めざめるパワー
305,トリック,サイコキネシス,めざめるパワー,きあいだま
306,サイコキネシス,きあいだま,シャドーボール,めいそう
307,サイコキネシス,サイドチェンジ,アンコール,ちょうはつ
308,サイコキネシス,サイコショック,エナジーボール,きあいだま
309,サイコショック,シャドーボール,めいそう,みがわり
310,リフレクター,ひかりのかべ,サイコキネシス,アンコール
311,カウンター,ばくれつパンチ,アンコール,まもる
312,インファイト,はたきおとす,バレットパンチ,かみなりパンチ
313,きしかいせい,ロックブラスト,かみなりパンチ,ヘビーボンバー
314,インファイト,はたきおとす,じしん,バレットパンチ
315,インファイト,じしん,はたきおとす,バレットパンチ
316,ストーンエッジ,ばくれつパンチ,バレットパンチ,ゆびをふる
317,バレットパンチ,だいもんじ,きあいだま,ワイドガード
318,まもる,はたきおとす,インファイト,バレットパンチ
319,ゆびをふる,-,-,-
320,ばくれつパンチ,れいとうパンチ,はたきおとす,ストーンエッジ
321,ばくれつパンチ,はたきおとす,どくどく,アンコール
322,ばくれつパンチ,ストーンエッジ,れいとうパンチ,バレットパンチ
323,ばくれつパンチ,ストーンエッジ,れいとうパンチ,はたきおとす
324,ばくれつパンチ,ストーンエッジ,アンコール,みがわり
325,ばくれつパンチ,だいもんじ,れいとうパンチ,バレットパンチ
326,インファイト,ストーンエッジ,れいとうパンチ,しっぺがえし
327,ばくれつパンチ,はたきおとす,アンコール,ねむる
328,なげつける,ばくれつパンチ,ストーンエッジ,れいとうパンチ
329,ばくれつパンチ,ストーンエッジ,れいとうパンチ,ねごと
330,ソーラービーム,ヘドロばくだん,ウェザーボール,せいちょう
331,パワーウィップ,ウェザーボール,ヘドロばくだん,めざめるパワー
332,パワーウィップ,リーフストーム,めざめるパワー,ねむりごな
333,ねっとう,はたきおとす,うずしお,みがわり
334,ハイドロポンプ,ヘドロウェーブ,マジカルシャイン,ミラーコート
335,ヘドロばくだん,うずしお,くろいきり,みがわり
336,ヘドロウェーブ,ミラーコート,こうそくスピン,マジカルシャイン
337,ヘドロばくだん,ギガドレイン,こごえるかぜ,ミラーコート
338,ヘドロウェーブ,ねっとう,マジカルシャイン,どくびし
339,ハイドロポンプ,アシッドボム,こごえるかぜ,めざめるパワー
340,ねっとう,ヘドロばくだん,まもる,くろいきり
341,ねっとう,ヘドロばくだん,バリアー,みがわり
342,ねっとう,ヘドロばくだん,あまごい,まもる
343,ねっとう,ヘドロばくだん,ハイドロポンプ,れいとうビーム
344,ミラーコート,なみのり,こごえるかぜ,ヘドロウェーブ
345,ハイドロポンプ,アシッドボム,こごえるかぜ,みがわり
346,みがわり,まもる,ハイドロポンプ,どくびし
347,ねっとう,どくびし,まもる,みがわり
348,じしん,ストーンエッジ,ばかぢから,ふいうち
349,じしん,ストーンエッジ,ロックカット,ふいうち
350,ストーンエッジ,じしん,ロックカット,じたばた
351,じしん,ストーンエッジ,ふいうち,どくどく
352,ロックカット,ストーンエッジ,じしん,だいもんじ
353,ストーンエッジ,じしん,ロックブラスト,だいばくはつ
354,マジカルフレイム,おにび,つのドリル,あさのひざし
355,マジカルフレイム,つのドリル,あさのひざし,おにび
356,だいもんじ,つのドリル,おにび,あさのひざし
357,フレアドライブ,ワイルドボルト,ソーラーブレード,じゃれつく
358,フレアドライブ,じゃれつく,ソーラーブレード,つるぎのまい
359,ドリルライナー,さいみんじゅつ,つのドリル,オーバーヒート
360,フレアドライブ,メガホーン,ワイルドボルト,めざめるパワー
361,フレアドライブ,ワイルドボルト,メガホーン,おにび
362,あくび,でんじは,トリックルーム,ひかりのかべ
363,トリックルーム,あくび,ねっとう,トリック
364,ハイドロポンプ,ボディプレス,なまける,トリックルーム
365,まもる,うずしお,なまける,サイコキネシス
366,なまける,てっぺき,ねっとう,だいもんじ
367,あくび,ねっとう,なまける,まもる
368,ねっとう,じしん,なまける,まもる
369,アシストパワー,めいそう,てっぺき,なまける
370,ねっとう,なまける,てっぺき,めいそう
371,ねっとう,てっぺき,ボディプレス,トリックルーム
372,ねっとう,くさむすび,なまける,てっぺき
373,だいもんじ,ねっとう,なまける,トリックルーム
374,ボディプレス,とおせんぼう,てっぺき,なまける
375,トリックルーム,だいもんじ,ねっとう,れいとうビーム
376,なみのり,だいもんじ,サイコショック,トリックルーム
377,トリックルーム,れいとうビーム,だいもんじ,ねっとう
378,トリックルーム,スキルスワップ,かなしばり,まもる
379,どくどく,リサイクル,まもる,-
380,リサイクル,まもる,どくどく,マジックコート
381,リサイクル,まもる,どくどく,-
382,どくどく,いばる,リサイクル,ボルトチェンジ
383,でんじは,リサイクル,ボルトチェンジ,フラッシュ
384,ひかりのかべ,リフレクター,ボルトチェンジ,てっていこうせん
385,ラスターカノン,ボルトチェンジ,まもる,でんじは
386,てっていこうせん,かみなり,こらえる,ラスターカノン
387,てっていこうせん,ラスターカノン,10まんボルト,ボルトチェンジ
388,10まんボルト,ラスターカノン,ボルトチェンジ,でんじは
389,10まんボルト,ボルトチェンジ,でんじは,ラスターカノン
390,でんじは,でんじふゆう,めざめるパワー,10まんボルト
391,10まんボルト,めざめるパワー,ラスターカノン,ボルトチェンジ
392,かみなり,ボルトチェンジ,めざめるパワー,でんじは
393,10まんボルト,めざめるパワー,でんじは,でんじふゆう
394,バトンタッチ,いのちがけ,フェイント,みがわり
395,ブレイブバード,はたきおとす,リーフブレード,つるぎのまい
396,であいがしら,ブレイブバード,はたきおとす,いのちがけ
397,つじぎり,フェイント,シンプルビーム,エアカッター
398,じたばた,こうそくいどう,アクロバット,はたきおとす
399,じたばた,がむしゃら,こうそくいどう,でんこうせっか
400,アンコール,かなしばり,ねむる,つのドリル
401,みがわり,かなしばり,アンコール,ぜったいれいど
402,アンコール,かなしばり,こごえるかぜ,まもる
403,ねむる,ぜったいれいど,たくわえる,どくどく
404,ちいさくなる,みがわり,どくどく,まとわりつく
405,どくづき,かげうち,だいもんじ,まもる
406,ちいさくなる,かなしばり,どくどく,かえんほうしゃ
407,ダストシュート,れいとうパンチ,きあいパンチ,かげうち
408,ダストシュート,だいもんじ,かげうち,ちいさくなる
409,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
410,つららばり,ロックブラスト,ハイドロポンプ,からをやぶる
411,からをやぶる,つららばり,ロックブラスト,ハイドロポンプ
412,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
413,からをやぶる,なみのり,れいとうビーム,こおりのつぶて
414,からをやぶる,れいとうビーム,どくづき,こおりのつぶて
415,つららばり,ロックブラスト,どくびし,からをやぶる
416,つららばり,ロックブラスト,からをやぶる,こおりのつぶて
417,つららばり,こおりのつぶて,ロックブラスト,からをやぶる
418,ロックブラスト,ミサイルばり,からをやぶる,つららばり
419,つららばり,ミサイルばり,ロックブラスト,からをやぶる
420,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
421,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
422,つららばり,からをやぶる,こおりのつぶて,ロックブラスト
423,つららばり,ロックブラスト,からをやぶる,バリアー
424,つららばり,ロックブラスト,からをやぶる,アクアブレイク
425,からをやぶる,つららばり,ロックブラスト,こおりのつぶて
426,こおりのつぶて,どくびし,つららばり,ロックブラスト
427,からをやぶる,つららばり,ロックブラスト,めざめるパワー
428,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
429,つららばり,ロックブラスト,からをやぶる,こおりのつぶて
430,つららばり,ロックブラスト,こおりのつぶて,からをやぶる
431,つららばり,こおりのつぶて,ロックブラスト,からをやぶる
432,トリックルーム,のろい,おにび,だいばくはつ
433,トリックルーム,みちづれ,ほろびのうた,だいばくはつ
434,ギガドレイン,くろいまなざし,ちょうはつ,みちづれ
435,たたりめ,スキルスワップ,さいみんじゅつ,ちょうはつ
436,シャドーボール,のろい,トリックルーム,ちょうはつ
437,ほろびのうた,のろい,みちづれ,ちょうはつ
438,ヘドロウェーブ,マジカルシャイン,たたりめ,おにび
439,ヘドロウェーブ,シャドーボール,ギガドレイン,さいみんじゅつ
440,シャドーボール,マジカルシャイン,のろい,ヘドロウェーブ
441,シャドーボール,マジカルシャイン,ふいうち,みちづれ
442,シャドーボール,エナジーボール,みちづれ,こごえるかぜ
443,ヘドロばくだん,シャドーボール,マジカルシャイン,トリック
444,ヘドロウェーブ,マジカルシャイン,エナジーボール,おにび
445,ほろびのうた,みがわり,みちづれ,ヘドロばくだん
446,シャドーボール,かみなり,マジカルシャイン,ふいうち
447,シャドーボール,ヘドロばくだん,エナジーボール,みちづれ
448,ヘドロウェーブ,マジカルシャイン,シャドーボール,ギガドレイン
449,シャドーボール,ヘドロウェーブ,かみなり,マジカルシャイン
450,たたりめ,ヘドロばくだん,マジカルシャイン,おにび
451,シャドーボール,ヘドロウェーブ,こごえるかぜ,のろい
452,おんねん,トリック,シャドーボール,こわいかお
453,シャドーボール,ヘドロばくだん,こごえるかぜ,エナジーボール
454,ヘドロウェーブ,シャドーボール,トリック,みちづれ
455,シャドーボール,ヘドロばくだん,おにび,みちづれ
456,さいみんじゅつ,たたりめ,きあいだま,ヘドロばくだん
457,10まんボルト,ヘドロばくだん,めざめるパワー,みちづれ
458,シャドーボール,みがわり,かなしばり,おにび
459,シャドーボール,マジカルシャイン,みちづれ,ちょうはつ
460,おにび,たたりめ,きあいだま,みちづれ
461,たたりめ,ヘドロばくだん,みがわり,さいみんじゅつ
462,ヘドロばくだん,シャドーボール,めざめるパワー,ちょうはつ
463,ボディプレス,ステルスロック,ちょうはつ,こらえる
464,ロックカット,もろはのずつき,じしん,じたばた
465,ステルスロック,がんせきふうじ,ボディプレス,じしん
466,ステルスロック,ちょうはつ,ボディプレス,こらえる
467,じしん,がんせきふうじ,ステルスロック,ちょうはつ
468,サイコキネシス,きあいだま,すりかえ,さいみんじゅつ
